Team,Group,Season,MP,W,D,L,GF,GA,GD,PTS,L5
BBF,A,1,6,5,1,0,38,9,29,16,"['W', 'W', 'D', 'W', 'W']"
NPC,A,1,6,4,2,0,33,13,20,14,"['W', 'D', 'W', 'D', 'W']"
NFC,A,1,6,4,1,1,29,8,21,13,"['W', 'W', 'W', 'D', 'L']"
L7F,A,1,6,3,0,3,15,29,-14,9,"['L', 'W', 'L', 'W', 'W']"
HBD,A,1,6,2,0,4,12,20,-8,6,"['W', 'L', 'L', 'W', 'L']"
TUE,A,1,6,1,0,5,8,30,-22,3,"['L', 'L', 'W', 'L', 'L']"
WCS,A,1,6,0,0,6,8,34,-26,0,"['L', 'L', 'L', 'L', 'L']"
MCH,B,1,6,6,0,0,38,9,29,18,"['W', 'W', 'W', 'W', 'W']"
MFC,B,1,6,4,1,1,33,8,25,13,"['W', 'W', 'W', 'W', 'L']"
WSR,B,1,6,4,1,1,34,13,21,13,"['W', 'W', 'W', 'W', 'L']"
FCB,B,1,6,3,0,3,20,17,3,9,"['L', 'L', 'W', 'W', 'L']"
HPA,B,1,6,2,0,4,18,28,-10,6,"['W', 'L', 'L', 'L', 'W']"
SWF,B,1,6,1,0,5,21,27,-6,3,"['L', 'L', 'L', 'L', 'W']"
HVB,B,1,6,0,0,6,6,68,-62,0,"['L', 'L', 'L', 'L', 'L']"
BBL,A,2,6,5,0,1,51,13,38,15,"['W', 'W', 'W', 'L', 'W']"
NPC,A,2,6,5,0,1,46,12,34,15,"['L', 'W', 'W', 'W', 'W']"
BNC,A,2,6,5,0,1,29,14,15,15,"['W', 'W', 'L', 'W', 'W']"
SFA,A,2,6,2,0,4,20,28,-8,6,"['W', 'W', 'L', 'L', 'L']"
TOE,A,2,6,2,0,4,11,50,-39,6,"['L', 'W', 'L', 'L', 'W']"
CSW,A,2,6,1,0,5,7,24,-17,3,"['L', 'L', 'L', 'L', 'L']"
SHT,A,2,6,1,0,5,13,36,-23,3,"['L', 'L', 'L', 'W', 'L']"
MCH,B,2,6,5,1,0,33,8,25,16,"['W', 'W', 'W', 'W', 'W']"
ASB,B,2,6,5,0,1,35,12,23,15,"['W', 'W', 'L', 'W', 'W']"
HBD,B,2,6,4,0,2,32,26,6,12,"['L', 'W', 'W', 'L', 'W']"
TFF,B,2,6,3,1,2,25,15,10,10,"['W', 'L', 'L', 'W', 'W']"
LJP,B,2,6,1,1,4,19,33,-14,4,"['L', 'L', 'W', 'D', 'L']"
E44,B,2,6,1,1,4,17,34,-17,4,"['L', 'W', 'L', 'D', 'L']"
HPA,B,2,6,0,0,6,1,34,-33,0,"['L', 'L', 'L', 'L', 'L']"
BXB,A,3,5,5,0,0,32,3,29,15,"['W', 'W', 'W', 'W', 'W']"
NPC,A,3,5,4,0,1,30,9,21,12,"['W', 'W', 'W', 'L', 'W']"
FTS,A,3,5,2,0,3,13,19,-6,6,"['W', 'L', 'L', 'W', 'L']"
TOE,A,3,5,2,0,3,17,27,-10,6,"['L', 'W', 'L', 'L', 'W']"
HVB,A,3,5,1,0,4,16,31,-15,3,"['L', 'L', 'L', 'W', 'L']"
NFA,A,3,5,1,0,4,5,24,-19,3,"['L', 'W', 'L', 'L', 'L']"
MCH,B,3,5,4,1,0,44,17,27,13,"['D', 'W', 'W', 'W', 'W']"
BNC,B,3,5,4,1,0,19,9,10,13,"['W', 'D', 'W', 'W', 'W']"
